image_path,caption
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30096_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30097_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30100_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30101_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30103_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30104_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30105_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30181_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30182_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30184_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30186_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30188_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_6734_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_MK_18248008_cn_coin_6734_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_MK_18248011_cn_coin_10392_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7610_cn_coin_30102_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7652_cn_coin_30187_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_BNF_Platzhalter_cn_coin_13243_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_30627_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_30628_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_30629_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_30630_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_31475_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_31885_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_31886_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_MK_18248571_cn_coin_10442_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7714_cn_coin_32699_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7744_cn_coin_30356_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7751_cn_coin_30375_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7753_cn_coin_30392_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7756_cn_coin_30393_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7836_cn_coin_30691_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7856_cn_coin_31021_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7982_cn_coin_31372_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7982_cn_coin_31373_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_234_cn_coin_8097_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1570_BNF_Platzhalter_cn_coin_12992_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1570_cn_coin_2341_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1570_cn_coin_2344_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1570_cn_coin_2345_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1570_cn_coin_2347_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1570_MK_18237438_cn_coin_3667_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1572_cn_coin_2382_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1679_cn_coin_31429_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1679_MK_18239765_cn_coin_3701_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1709_cn_coin_9394_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1715_cn_coin_9404_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_1971_cn_coin_9862_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2222_cn_coin_10851_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2436_cn_coin_2534_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2436_cn_coin_2535_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2466_MK_18239365_cn_coin_4742_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2567_BNF_Platzhalter_cn_coin_13046_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2567_cn_coin_2892_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2567_cn_coin_2893_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2567_cn_coin_2895_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2567_cn_coin_2896_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2579_BNF_Platzhalter_cn_coin_13047_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2579_cn_coin_2902_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2579_cn_coin_2903_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2579_cn_coin_2905_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2579_cn_coin_2906_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2579_MK_18239406_cn_coin_4764_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2605_cn_coin_2952_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2605_cn_coin_2953_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2986_BNF_Platzhalter_cn_coin_13068_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2986_cn_coin_3072_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_2986_cn_coin_3073_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3115_BNF_Platzhalter_cn_coin_13080_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3115_BNF_Platzhalter_cn_coin_13081_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3115_cn_coin_3947_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3115_cn_coin_3948_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3116_cn_coin_3949_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3116_cn_coin_3951_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3116_cn_coin_3952_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3116_MK_18239706_cn_coin_4801_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3260_cn_coin_4143_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3261_BNF_1231_cn_coin_13096_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3261_cn_coin_4144_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3261_cn_coin_4146_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3262_cn_coin_4145_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3397_cn_coin_4266_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3592_BNF_41767047_cn_coin_22451_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3592_MK_18262490_cn_coin_15578_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3595_BNF_41767048_cn_coin_22452_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3595_MK_18224724_cn_coin_15580_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3595_MK_18224726_cn_coin_15581_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3598_MK_18224723_cn_coin_15582_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3599_MK_18224725_cn_coin_15583_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3600_MK_18224722_cn_coin_15584_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_3633_MK_18224733_cn_coin_15605_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4109_cn_coin_16457_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4150_cn_coin_16517_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_BNF_41767764_cn_coin_23167_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_BNF_41767773_cn_coin_23176_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_cn_coin_23176_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_cn_coin_31634_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_cn_coin_31637_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_cn_coin_31640_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_cn_coin_31641_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_cn_coin_31642_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_MK_18231748_cn_coin_18104_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4709_MK_18265842_cn_coin_19964_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4855_cn_coin_18116_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4855_cn_coin_27611_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_4855_MK_18231781_cn_coin_18116_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_5844_cn_coin_4543_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_5844_cn_coin_4544_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6045_cn_coin_28286_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6045_cn_coin_29399_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6139_cn_coin_5149_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6140_cn_coin_5148_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6645_BNF_Platzhalter_cn_coin_12079_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6645_cn_coin_7090_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6645_cn_coin_7114_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6645_MK_18249218_cn_coin_6765_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6996_BNF_398_cn_coin_313_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6996_cn_coin_313_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_6996_cn_coin_314_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7233_BNF_41767069_cn_coin_22473_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7242_BNF_41767082_cn_coin_22486_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30095_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30096_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30097_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30100_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30101_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30103_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30104_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30105_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30181_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30182_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30184_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30186_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_30188_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_cn_coin_6734_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_MK_18248008_cn_coin_6734_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7607_MK_18248011_cn_coin_10392_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7610_cn_coin_30102_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7652_cn_coin_30187_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_BNF_Platzhalter_cn_coin_13243_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_30627_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_30628_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_30629_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_30630_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_31475_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_31885_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_cn_coin_31886_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7703_MK_18248571_cn_coin_10442_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_7714_cn_coin_32699_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8031_cn_coin_31426_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8031_cn_coin_31427_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8031_cn_coin_31428_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8313_cn_coin_31720_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8366_cn_coin_31783_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8366_cn_coin_31784_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8366_cn_coin_31785_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8477_cn_coin_31883_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8685_cn_coin_32202_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8779_cn_coin_32382_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8779_cn_coin_32383_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8779_cn_coin_32384_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8779_cn_coin_32385_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8907_cn_coin_32643_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8907_cn_coin_32645_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8907_cn_coin_32700_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8909_cn_coin_32644_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8939_cn_coin_32698_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8939_cn_coin_32701_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_8939_cn_coin_32702_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10774_BNF_Platzhalter_cn_coin_13282_o_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10774_cn_coin_33557_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10774_cn_coin_33558_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
CN_dataset_obj_detection_04_23\dataset_obj_detection\Zeus\CN_type_10774_cn_coin_33559_p_rev.jpg,Zeus enthroned left& holding patera and sceptre.
